source_type,id,context_screen,english,hungarian,needs_review
ui_string,act.grfix.prompt,interface,One word is not right. Tap it.,Egy szó nem jó. Koppints rá.,yes
ui_string,act.grfix.fixed,interface,Fixed:,Javítva:,yes
ui_string,act.soundsort.prompt,interface,Listen. Which group does the word belong to?,Hallgasd meg. Melyik csoportba tartozik a szó?,yes
ui_string,act.shadow.prompt,interface,"Listen, then say each word out loud.","Hallgasd meg, majd mondd ki hangosan mindegyik szót.",yes
ui_string,act.pairsay.prompt,interface,Now you say it. Record yourself.,Most te mondd ki. Vedd fel magad.,yes
ui_string,btn.hearword,interface,Hear the word,Hallgasd meg a szót,yes
ui_string,say.title,interface,Say it,Mondd ki,yes
ui_string,say.hear,interface,Hear it,Hallgasd meg,yes
ui_string,say.hearme,interface,Hear me,Hallgasd vissza magad,yes
ui_string,say.record,interface,Record me,Vegyél fel,yes
ui_string,say.again,interface,Say it again,Mondd újra,yes
ui_string,practice.review,interface,Review words due today,Mai ismétlendő szavak,yes
ui_string,practice.vocab,interface,Practice vocabulary,Szókincs gyakorlása,yes
ui_string,practice.grammar,interface,Practice grammar,Nyelvtan gyakorlása,yes
ui_string,practice.sounds,interface,Practice sounds,Hangok gyakorlása,yes
ui_string,practice.spelling,interface,Spelling & sound,Írás és kiejtés,yes
ui_string,practice.choosetopic,interface,Choose a topic to practise,Válassz témát a gyakorláshoz,yes
ui_string,practice.choosepoint,interface,Choose a grammar point,Válassz nyelvtani pontot,yes
ui_string,practice.immersion,interface,Picture & sound mode,Kép és hang mód,yes
ui_string,practice.immersion.note,interface,See the picture and hear the word. Hungarian is hidden — turn it on any time.,Nézd a képet és hallgasd a szót. A magyar rejtve van — bármikor bekapcsolhatod.,yes
ui_string,practice.start,interface,Practise,Gyakorlás,yes
ui_string,practice.done,interface,Nice practice! Well done.,Szép gyakorlás! Jól ment.,yes
ui_string,practice.nowords,interface,Come back after a lesson or two.,Gyere vissza egy-két lecke után.,yes
ui_string,practice.sounds.step1,interface,The sounds,A hangok,yes
ui_string,practice.sounds.step2,interface,Spelling & sound,Írás és kiejtés,yes
ui_string,practice.sounds.step3,interface,Stress & melody,Hangsúly és dallam,yes
ui_string,practice.quick,interface,Quick practice,Gyors gyakorlás,yes
ui_string,practice.quick.note,interface,A short mixed session — a few words to say and write.,"Rövid, vegyes gyakorlás — néhány szó kimondva és leírva.",yes
ui_string,practice.more,interface,Practise more,Gyakorolj még,yes
ui_string,practice.showall,interface,Show all,Mutasd mind,yes
ui_string,practice.hideall,interface,Show fewer,Mutass kevesebbet,yes
ui_string,practice.growth,interface,{n} of {m} words practised,{n} / {m} szó gyakorolva,yes
ui_string,practice.pickone,interface,One to try,Egy próbára,yes
ui_string,conv.support.choose,interface,Choose,Válassz,yes
ui_string,conv.support.build,interface,Build,Építsd,yes
ui_string,conv.support.type,interface,Say or type,Mondd vagy írd,yes
ui_string,conv.your_turn,interface,Your turn,Most te jössz,yes
ui_string,conv.type_here,interface,Type your answer here,Írd ide a válaszodat,yes
ui_string,conv.repair,interface,"Sorry, I didn't understand. Would you like to try again?","Elnézést, ezt nem értettem. Szeretnéd újra megpróbálni?",yes
ui_string,conv.repair.shorter,interface,You can say it in a shorter way.,Mondhatod rövidebben is.,yes
ui_string,conv.start,interface,Start conversation,Beszélgetés indítása,yes
ui_string,conv.again,interface,Talk again,Beszéljünk újra,yes
ui_string,conv.finished,interface,Conversation finished. Lovely work!,Vége a beszélgetésnek. Szép munka!,yes
ui_string,conv.locked.note,interface,Open conversations are best after a few weeks of guided practice.,A szabad beszélgetések néhány hét gyakorlás után a legjobbak.,yes
ui_string,fb.correct,interface,Well done!,Pontosan!,yes
ui_string,fb.good,interface,Good.,Jó.,yes
ui_string,fb.almost,interface,Almost. Try once more.,Majdnem. Próbáld még egyszer.,yes
ui_string,fb.alsoright,interface,Good. This answer is also possible.,Jó. Ez a válasz is helyes.,yes
ui_string,fb.listen,interface,Listen again and notice the sounds.,"Hallgasd meg újra, és figyeld a hangokat.",yes
ui_string,settings.title,interface,Settings,Beállítások,yes
ui_string,settings.language,interface,Help language,Segítség nyelve,yes
ui_string,settings.voice,interface,Voice,Hang,yes
ui_string,settings.voice.test,interface,Test voice,Hang tesztelése,yes
ui_string,settings.voice.none,interface,No British voice found. The app will use another voice.,Nem található brit hang. Az alkalmazás másik angol hangot használ.,yes
ui_string,settings.text,interface,Text size,Betűméret,yes
ui_string,settings.motion,interface,Reduce movement,Kevesebb mozgás,yes
ui_string,settings.help_mode,interface,Hungarian help,Magyar segítség,yes
ui_string,settings.help.menu,interface,Hungarian menu labels,Magyar menüfeliratok,yes
ui_string,settings.help.panels,interface,Hungarian help panels,Magyar segítő panelek,yes
ui_string,settings.help.heavy,interface,Lots of Hungarian,Sok magyar,yes
ui_string,settings.open_conv,interface,Allow open conversations now,Szabad beszélgetések engedélyezése most,yes
ui_string,settings.reviewer,interface,Reviewer mode,Áttekintő mód,yes
ui_string,settings.reviewer.note,interface,Adds a Skip button on every step so you can browse the whole app without answering.,"Minden lépésnél megjelenik egy Skip gomb, így válaszadás nélkül átnézheted az egész appot.",yes
ui_string,backup.title,interface,Backup,Biztonsági mentés,yes
ui_string,backup.export,interface,Make a backup,Back-up készítése,yes
ui_string,backup.import,interface,Restore a backup,Biztonsági mentés visszaállítása,yes
ui_string,backup.reset,interface,Reset all progress,Minden haladás törlése,yes
ui_string,backup.reset.confirm,interface,This will erase your progress. Are you sure?,Ez törli a haladásodat. Biztos vagy benne?,yes
ui_string,backup.exported,interface,Backup saved. Keep the file in a safe place.,A mentés elkészült. Tedd biztos helyre a fájlt.,yes
ui_string,backup.imported,interface,Backup restored. Welcome back!,"A mentés visszaállt. Üdv újra, Marta!",yes
ui_string,backup.invalid,interface,This file is not a valid backup. Nothing was changed.,Ez a fájl nem érvényes mentés. Semmi nem változott.,yes
ui_string,cap.tts.ok,interface,Sound is ready.,A hang készen áll.,yes
ui_string,cap.tts.no,interface,Sound may not work in this browser.,"Lehet, hogy a hang nem működik ebben a böngészőben.",yes
ui_string,cap.mic.ok,interface,Microphone is ready when you need it.,"A mikrofon készen áll, ha kell.",yes
ui_string,cap.mic.no,interface,"Recording may not work here, but you can still learn.","Lehet, hogy a felvétel itt nem működik, de a tanulás akkor is megy.",yes
ui_string,cap.rec.experimental,interface,Speaking check is experimental and optional.,A kiejtés-ellenőrzés kísérleti és nem kötelező.,yes
ui_string,cap.storage.ok,interface,Your progress will be saved on this computer.,A haladásod ezen a gépen mentődik.,yes
ui_string,cap.storage.no,interface,Saving may not work here. Please make backups often.,"Lehet, hogy a mentés nem működik itt. Készíts gyakran biztonsági mentést.",yes
ui_string,diag.title,interface,A friendly start,Barátságos kezdés,yes
ui_string,diag.intro,interface,This is not a test. It helps us find a good place to start.,Ez nem vizsga. Csak segít megtalálni a jó kezdőpontot.,yes
ui_string,diag.q.audio,interface,Can you hear this word clearly?,Tisztán hallod ezt a szót?,yes
ui_string,diag.q.know,interface,Do you know this word?,Ismered ezt a szót?,yes
ui_string,diag.yes,interface,Yes,Igen,yes
ui_string,diag.no,interface,Not yet,Még nem,yes
ui_string,diag.some,interface,A little,Egy kicsit,yes
ui_string,diag.result,interface,A good place to start is Unit 1. You already know some useful English.,Jó kezdőpont az 1. egység. Már ismersz néhány hasznos angol szót.,yes
ui_string,status.new,interface,New,Új,yes
ui_string,status.practising,interface,Practising,Gyakorlás alatt,yes
ui_string,status.familiar,interface,Becoming familiar,Egyre ismerősebb,yes
ui_string,status.ready,interface,Ready to use,Használatra kész,yes
ui_string,status.review,interface,Review soon,Hamarosan ismételd,yes
ui_string,help.title,interface,Help,Segítség,yes
ui_string,help.audio,interface,"If you cannot hear the voice, check your speakers and open Settings.","Ha nem hallod a hangot, ellenőrizd a hangszórót, és nyisd meg a Beállításokat.",yes
ui_string,help.record,interface,Press Record to speak. Your voice stays on this computer and is not sent anywhere.,"Nyomd meg a Felvétel gombot a beszédhez. A hangod ezen a gépen marad, nem küldjük sehova.",yes
ui_string,help.backup,interface,Make a backup with the button in Settings. Keep the file safe.,Készíts mentést a Beállítások gombjával. Tedd biztos helyre a fájlt.,yes
ui_string,a11y.correct,interface,Correct,Helyes,yes
ui_string,a11y.incorrect,interface,Not quite,Nem egészen,yes
ui_string,a11y.recording,interface,Recording,Felvétel folyik,yes
ui_string,a11y.playing,interface,Playing,Lejátszás,yes
lexicon,lex_hello,lesson:u01-l01,hello,szia / jó napot,yes
lexicon,lex_hi,lesson:u01-l01,hi,szia,yes
lexicon,lex_goodbye,lesson:u01-l01,goodbye,viszlát,yes
lexicon,lex_bye,lesson:u01-l01,bye,szia (búcsú),yes
lexicon,lex_good_morning,lesson:u01-l01,good morning,jó reggelt,yes
lexicon,lex_good_afternoon,lesson:u01-l01,good afternoon,jó napot,yes
lexicon,lex_good_evening,lesson:u01-l01,good evening,jó estét,yes
lexicon,lex_good_night,lesson:u01-l01,good night,jó éjszakát,yes
lexicon,lex_please,lesson:u01-l01,please,kérem,yes
lexicon,lex_thank_you,lesson:u01-l01,thank you,köszönöm,yes
lexicon,lex_thanks,lesson:u01-l01,thanks,kösz,yes
lexicon,lex_yes,lesson:u01-l01,yes,igen,yes
lexicon,lex_no,lesson:u01-l01,no,nem,yes
lexicon,lex_sorry,lesson:u01-l01,sorry,elnézést / bocsánat,yes
lexicon,lex_name,lesson:u01-l01,name,név,yes
lexicon,lex_my,lesson:u01-l01,my,az én ...-m,yes
lexicon,lex_your,lesson:u01-l01,your,a te ...-d,yes
lexicon,lex_i,lesson:u01-l01,I,én,yes
lexicon,lex_you,lesson:u01-l01,you,te,yes
lexicon,lex_he,lesson:u01-l02,he,ő (férfi),yes
lexicon,lex_she,lesson:u01-l02,she,ő (nő),yes
lexicon,lex_we,lesson:u01-l02,we,mi,yes
lexicon,lex_they,lesson:u01-l02,they,ők,yes
lexicon,lex_it,lesson:u01-l02,it,az (dolog),yes
lexicon,lex_be,lesson:u01-l02,be,lenni,yes
lexicon,lex_from,lesson:u01-l01,from,-ból / -ből,yes
lexicon,lex_country,lesson:u01-l01,country,ország,yes
lexicon,lex_city,lesson:u01-l01,city,város,yes
lexicon,lex_teacher,lesson:u01-l01,teacher,tanár / tanárnő,yes
lexicon,lex_retired,lesson:u01-l01,retired,nyugdíjas,yes
lexicon,lex_nice,lesson:u01-l01,nice,kedves / jó,yes
lexicon,lex_what,lesson:u01-l01,what,mi / mit,yes
lexicon,lex_where,lesson:u01-l01,where,hol,yes
lexicon,lex_how,lesson:u01-l01,how,hogy / hogyan,yes
lexicon,lex_who,lesson:u01-l02,who,ki,yes
lexicon,lex_fine,lesson:u01-l01,fine,jól,yes
lexicon,lex_good,lesson:u01-l01,good,jó,yes
lexicon,lex_well,lesson:u01-l01,well,jól,yes
lexicon,lex_and,lesson:u01-l02,and,és,yes
lexicon,lex_a,lesson:u01-l01,a,egy,yes
lexicon,lex_an,lesson:u01-l01,an,egy,yes
lexicon,lex_the,lesson:u01-l02,the,a / az,yes
lexicon,lex_family,lesson:u02-l01,family,család,yes
lexicon,lex_mother,lesson:u02-l01,mother,anya,yes
lexicon,lex_father,lesson:u02-l01,father,apa,yes
lexicon,lex_mum,lesson:u02-l01,mum,anyu,yes
lexicon,lex_dad,lesson:u02-l01,dad,apu,yes
lexicon,lex_parents,lesson:u02-l01,parents,szülők,yes
lexicon,lex_sister,lesson:u02-l01,sister,lánytestvér / nővér,yes
lexicon,lex_brother,lesson:u02-l01,brother,fiútestvér / báty,yes
lexicon,lex_daughter,lesson:u02-l01,daughter,lánya vkinek,yes
lexicon,lex_son,lesson:u02-l01,son,fia vkinek,yes
lexicon,lex_husband,lesson:u02-l01,husband,férj,yes
lexicon,lex_wife,lesson:u02-l02,wife,feleség,yes
lexicon,lex_partner,lesson:u02-l02,partner,élettárs / partner,yes
lexicon,lex_boyfriend,lesson:u02-l02,boyfriend,barát (párkapcsolat),yes
lexicon,lex_girlfriend,lesson:u02-l02,girlfriend,barátnő (párkapcsolat),yes
lexicon,lex_niece,lesson:u02-l01,niece,unokahúg,yes
lexicon,lex_nephew,lesson:u02-l01,nephew,unokaöcs,yes
lexicon,lex_aunt,lesson:u02-l01,aunt,nagynéni,yes
lexicon,lex_uncle,lesson:u02-l01,uncle,nagybácsi,yes
lexicon,lex_grandmother,lesson:u02-l02,grandmother,nagymama,yes
lexicon,lex_grandfather,lesson:u02-l02,grandfather,nagypapa,yes
lexicon,lex_child,lesson:u02-l01,child,gyerek,yes
lexicon,lex_friend,lesson:u02-l02,friend,barát,yes
lexicon,lex_have,lesson:u02-l02,have,van neki / birtokolni,yes
lexicon,lex_this,lesson:u02-l02,this,ez,yes
lexicon,lex_that,lesson:u02-l02,that,az,yes
lexicon,lex_these,lesson:u02-l02,these,ezek,yes
lexicon,lex_those,lesson:u02-l02,those,azok,yes
lexicon,lex_his,lesson:u02-l01,his,az ő ...-ja (férfi),yes
lexicon,lex_her,lesson:u02-l01,her,az ő ...-ja (nő),yes
lexicon,lex_our,lesson:u02-l02,our,a mi ...-nk,yes
lexicon,lex_their,lesson:u02-l02,their,az ő ...-juk,yes
lexicon,lex_old,lesson:u02-l02,old,öreg / idős,yes
lexicon,lex_young,lesson:u02-l02,young,fiatal,yes
lexicon,lex_married,lesson:u02-l02,married,házas,yes
lexicon,lex_hungary,lesson:u03-l01,Hungary,Magyarország,yes
lexicon,lex_hungarian,lesson:u03-l01,Hungarian,magyar,yes
lexicon,lex_england,lesson:u03-l01,England,Anglia,yes
lexicon,lex_english,lesson:u03-l01,English,angol,yes
lexicon,lex_spain,lesson:u03-l01,Spain,Spanyolország,yes
lexicon,lex_spanish,lesson:u03-l01,Spanish,spanyol,yes
lexicon,lex_germany,lesson:u03-l01,Germany,Németország,yes
lexicon,lex_german,lesson:u03-l01,German,német,yes
lexicon,lex_denmark,lesson:u03-l01,Denmark,Dánia,yes
lexicon,lex_danish,lesson:u03-l01,Danish,dán,yes
lexicon,lex_belgium,lesson:u03-l01,Belgium,Belgium,yes
lexicon,lex_switzerland,lesson:u03-l01,Switzerland,Svájc,yes
lexicon,lex_language,lesson:u03-l01,language,nyelv,yes
lexicon,lex_speak,lesson:u03-l01,speak,beszélni (nyelvet),yes
lexicon,lex_live,lesson:u03-l01,live,lakni / élni,yes
lexicon,lex_work,lesson:u03-l02,work,dolgozni / munka,yes
lexicon,lex_come,lesson:u03-l01,come,jönni,yes
lexicon,lex_tall,lesson:u03-l02,tall,magas,yes
lexicon,lex_short,lesson:u03-l02,short,alacsony / rövid,yes
lexicon,lex_kind,lesson:u03-l02,kind,kedves,yes
lexicon,lex_funny,lesson:u03-l02,funny,vicces,yes
lexicon,lex_happy,lesson:u03-l02,happy,boldog,yes
lexicon,lex_but,lesson:u03-l02,but,de,yes
lexicon,lex_because,lesson:u03-l02,because,mert,yes
lexicon,lex_so,lesson:u03-l02,so,úgyhogy / tehát,yes
lexicon,lex_very,lesson:u03-l02,very,nagyon,yes
lexicon,lex_day,lesson:u04-l01,day,nap,yes
lexicon,lex_morning,lesson:u04-l01,morning,reggel,yes
lexicon,lex_afternoon,lesson:u04-l01,afternoon,délután,yes
lexicon,lex_evening,lesson:u04-l01,evening,este,yes
lexicon,lex_night,lesson:u04-l01,night,éjszaka,yes
lexicon,lex_get_up,lesson:u04-l01,get up,felkelni,yes
lexicon,lex_wake_up,lesson:u04-l01,wake up,felébredni,yes
lexicon,lex_eat,lesson:u04-l01,eat,enni,yes
lexicon,lex_drink,lesson:u04-l01,drink,inni,yes
lexicon,lex_sleep,lesson:u04-l01,sleep,aludni,yes
lexicon,lex_go,lesson:u04-l01,go,menni,yes
lexicon,lex_read,lesson:u04-l02,read,olvasni,yes
lexicon,lex_watch,lesson:u04-l02,watch,nézni,yes
lexicon,lex_walk,lesson:u04-l02,walk,sétálni,yes
lexicon,lex_home,lesson:u04-l02,home,otthon,yes
lexicon,lex_house,lesson:u04-l02,house,ház,yes
lexicon,lex_room,lesson:u04-l02,room,szoba,yes
lexicon,lex_kitchen,lesson:u04-l02,kitchen,konyha,yes
lexicon,lex_garden,lesson:u04-l02,garden,kert,yes
lexicon,lex_always,lesson:u04-l01,always,mindig,yes
lexicon,lex_usually,lesson:u04-l01,usually,általában,yes
lexicon,lex_often,lesson:u04-l01,often,gyakran,yes
lexicon,lex_sometimes,lesson:u04-l01,sometimes,néha,yes
lexicon,lex_never,lesson:u04-l01,never,soha,yes
lexicon,lex_every_day,lesson:u04-l01,every day,minden nap,yes
lexicon,lex_there_is,lesson:u04-l02,there is,van (ott),yes
lexicon,lex_there_are,lesson:u04-l02,there are,vannak (ott),yes
lexicon,lex_in,lesson:u04-l02,in,-ban / -ben,yes
lexicon,lex_on,lesson:u04-l02,on,-on / -en / -ön,yes
lexicon,lex_under,lesson:u04-l02,under,alatt,yes
lexicon,lex_next_to,lesson:u04-l02,next to,mellett,yes
lexicon,lex_food,lesson:u05-l01,food,étel,yes
lexicon,lex_water,lesson:u05-l01,water,víz,yes
lexicon,lex_coffee,lesson:u05-l01,coffee,kávé,yes
lexicon,lex_tea,lesson:u05-l01,tea,tea,yes
lexicon,lex_milk,lesson:u05-l01,milk,tej,yes
lexicon,lex_bread,lesson:u05-l01,bread,kenyér,yes
lexicon,lex_cheese,lesson:u05-l01,cheese,sajt,yes
lexicon,lex_egg,lesson:u05-l01,egg,tojás,yes
lexicon,lex_apple,lesson:u05-l01,apple,alma,yes
lexicon,lex_soup,lesson:u05-l01,soup,leves,yes
lexicon,lex_meat,lesson:u05-l01,meat,hús,yes
lexicon,lex_fish,lesson:u05-l01,fish,hal,yes
lexicon,lex_vegetable,lesson:u05-l01,vegetable,zöldség,yes
lexicon,lex_fruit,lesson:u05-l01,fruit,gyümölcs,yes
lexicon,lex_cake,lesson:u05-l02,cake,sütemény / torta,yes
lexicon,lex_breakfast,lesson:u05-l01,breakfast,reggeli,yes
lexicon,lex_lunch,lesson:u05-l01,lunch,ebéd,yes
lexicon,lex_dinner,lesson:u05-l01,dinner,vacsora,yes
lexicon,lex_cook,lesson:u05-l02,cook,főzni,yes
lexicon,lex_make,lesson:u05-l02,make,csinálni / készíteni,yes
lexicon,lex_buy,lesson:u05-l02,buy,venni / vásárolni,yes
lexicon,lex_like,lesson:u05-l01,like,szeretni / kedvelni,yes
lexicon,lex_want,lesson:u05-l02,want,akarni,yes
lexicon,lex_shop,lesson:u05-l02,shop,bolt / vásárolni,yes
lexicon,lex_price,lesson:u05-l02,price,ár,yes
lexicon,lex_money,lesson:u05-l02,money,pénz,yes
lexicon,lex_some,lesson:u05-l01,some,néhány / egy kis,yes
lexicon,lex_any,lesson:u05-l01,any,bármennyi / semennyi,yes
lexicon,lex_much,lesson:u05-l02,much,sok (megszámlálhatatlan),yes
lexicon,lex_many,lesson:u05-l02,many,sok (megszámlálható),yes
lexicon,lex_time,lesson:u06-l01,time,idő,yes
lexicon,lex_hour,lesson:u06-l01,hour,óra (időtartam),yes
lexicon,lex_minute,lesson:u06-l01,minute,perc,yes
lexicon,lex_today,lesson:u06-l01,today,ma,yes
lexicon,lex_tomorrow,lesson:u06-l01,tomorrow,holnap,yes
lexicon,lex_yesterday,lesson:u06-l01,yesterday,tegnap,yes
lexicon,lex_week,lesson:u06-l01,week,hét,yes
lexicon,lex_month,lesson:u06-l01,month,hónap,yes
lexicon,lex_year,lesson:u06-l01,year,év,yes
lexicon,lex_monday,lesson:u06-l01,Monday,hétfő,yes
lexicon,lex_tuesday,lesson:u06-l01,Tuesday,kedd,yes
lexicon,lex_wednesday,lesson:u06-l01,Wednesday,szerda,yes
lexicon,lex_thursday,lesson:u06-l01,Thursday,csütörtök,yes
lexicon,lex_friday,lesson:u06-l01,Friday,péntek,yes
lexicon,lex_saturday,lesson:u06-l01,Saturday,szombat,yes
lexicon,lex_sunday,lesson:u06-l01,Sunday,vasárnap,yes
lexicon,lex_weekend,lesson:u06-l02,weekend,hétvége,yes
lexicon,lex_weather,lesson:u06-l02,weather,időjárás,yes
lexicon,lex_sunny,lesson:u06-l02,sunny,napos,yes
lexicon,lex_rainy,lesson:u06-l02,rainy,esős,yes
lexicon,lex_cold,lesson:u06-l02,cold,hideg,yes
lexicon,lex_hot,lesson:u06-l02,hot,meleg / forró,yes
lexicon,lex_warm,lesson:u06-l02,warm,meleg (kellemes),yes
lexicon,lex_plan,lesson:u06-l02,plan,terv / tervezni,yes
lexicon,lex_meet,lesson:u06-l02,meet,találkozni,yes
lexicon,lex_can,lesson:u06-l02,can,tud / -hat,yes
lexicon,lex_going_to,lesson:u06-l02,going to,fog (jövő idő),yes
lexicon,lex_free,lesson:u06-l02,free,szabad (ráér),yes
lexicon,lex_busy,lesson:u06-l02,busy,elfoglalt,yes
lexicon,lex_call,lesson:u07-l01,call,hívni / hívás,yes
lexicon,lex_phone,lesson:u07-l01,phone,telefon,yes
lexicon,lex_hear,lesson:u07-l01,hear,hallani,yes
lexicon,lex_see,lesson:u07-l01,see,látni,yes
lexicon,lex_repeat,lesson:u07-l01,repeat,megismételni,yes
lexicon,lex_slowly,lesson:u07-l01,slowly,lassan,yes
lexicon,lex_again,lesson:u07-l01,again,újra,yes
lexicon,lex_understand,lesson:u07-l01,understand,érteni,yes
lexicon,lex_wait,lesson:u07-l01,wait,várni,yes
lexicon,lex_moment,lesson:u07-l01,moment,pillanat,yes
lexicon,lex_me,lesson:u07-l02,me,engem / nekem,yes
lexicon,lex_him,lesson:u07-l02,him,őt (férfi),yes
lexicon,lex_them,lesson:u07-l02,them,őket,yes
lexicon,lex_hobby,lesson:u08-l01,hobby,hobbi,yes
lexicon,lex_music,lesson:u08-l01,music,zene,yes
